id,scientific_name,best_identity,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,rank,count,Sard_69_EtOH,Sard_69_Si,Sard_70_EtOH,Sard_70_Si,Sard_71_EtOH,Sard_71_Si,Sard_72_EtOH,Sard_72_Si,Sard_73_EtOH,Sard_73_Si,Sard_74_EtOH,Sard_74_Si,Sard_75_EtOH,Sard_75_Si,Sard_77_EtOH,Sard_77_Si,Sard_80_EtOH,Sard_80_Si,Sard_84_EtOH,Sard_84_Si,Adr_110_EtOH,Adr_110_Si,Adr_115_EtOH,Adr_115_Si,Adr_118_EtOH,Adr_118_Si,Adr_87_EtOH,Adr_87_Si,Adr_89_EtOH,Adr_89_Si,Tyrr_48_EtOH,Tyrr_48_Si,Tyrr_59_EtOH,Tyrr_59_Si,Tyrr_71_EtOH,Tyrr_71_Si,Tyrr_83_EtOH,Tyrr_83_Si,Tyrr_87_EtOH,Tyrr_87_Si,Tyrr_10_EtOH,Tyrr_10_Si
OTU_01,Alepocephalus,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Alepocephaliformes,Alepocephalidae,Alepocephalus,NA,genus,12391,0,0,0,0,2,1,4,3,0,0,2,0,1,0,1,1,3,0,2,2,3,4,2,4,4,4,0,4,1,2,5,4,0,4,0,0,3,3,3,5,3,1
OTU_02,Alosa fallax,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,Alosa fallax,species,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,479,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
OTU_03,Aphia minuta,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Aphia,Aphia minuta,species,112,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,9,0,0,0,0,0,0,46,13,0,0
OTU_04,Arctozenus risso,0.9825,Opisthokonta,Metazoa,Chordata,Actinopterygii,Aulopiformes,Paralepididae,Arctozenus,Arctozenus risso,species,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
OTU_05,Argentina sphyraena,0.98,Opisthokonta,Metazoa,Chordata,Actinopterygii,Argentiniformes,Argentinidae,Argentina,Argentina sphyraena,species,8088,0,0,1,0,342,6,934,46,10,121,250,4,309,22,213,207,13,80,903,567,0,2,0,0,0,0,1,1,2,0,0,1,14,1,5,1,2781,368,6,6,0,0
OTU_06,Arnoglossus laterna,0.99,Opisthokonta,Metazoa,Chordata,Actinopterygii,Pleuronectiformes,Bothidae,Arnoglossus,Arnoglossus laterna,species,381,0,0,2,1,0,0,3,0,5,3,0,0,2,0,0,0,0,0,0,0,116,0,0,29,3,1,51,4,55,27,0,19,2,0,0,0,3,0,44,8,0,0
OTU_07,Boops boops,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Spariformes,Sparidae,Boops,Boops boops,species,2031,1,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,3,53,78,195,141,0,0,0,0,5,46,0,0
OTU_08,Capros aper,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Caproiformes,Caproidae,Capros,Capros aper,species,10556,0,0,1,0,0,0,3,2,0,1,481,5,53,1,218,113,5,7,3787,5140,4,2,1,3,1,1,2,1,1,2,1,4,2,3,1,2,310,74,3,8,1,0
OTU_09,Cepola macrophthalma,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Perciformes,Cepolidae,Cepola,Cepola macrophthalma,species,722,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,2,165,165,0,0,22,17,2,0,2,1,0,0,0,0,7,16,0,0
OTU_10,Ceratoscopelus maderensis,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Ceratoscopelus,Ceratoscopelus maderensis,species,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,7,177,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
