"Staz","Source","REP","Alepocephalus","Alosa.fallax","Aphia.minuta","Arctozenus.risso","Argentina.sphyraena","Arnoglossus.laterna","Boops.boops","Capros.aper","Cepola.macrophthalma","Ceratoscopelus.maderensis","Chelidonichthys","Chimaera.monstrosa","Chlorophthalmus.agassizi","Citharus.linguatula","Coelorinchus.caelorhincus","Conger.conger","Crystallogobius.linearis","Cyclothone.microdon","Dactylopterus.volitans","Dalatias.licha","Dasyatis.pastinaca","Dentex","Diaphus","Diaphus.metopoclampus","Diaphus.rafinesquii","Dipturus.oxyrinchus","Echiodon","Engraulis.encrasicolus","Epigonus.denticulatus","Etmopterus.spinax","Facciolella.oxyrhyncha","Gadiculus.argenteus","Galeus.melastomus","Glossanodon.leioglossus","Gnathophis","Gobius.niger","Gymnammodytes","Helicolenus.dactylopterus","Hoplostethus.mediterraneus","Hygophum.benoiti","Hygophum.hygomii","Hymenocephalus.italicus","Isurus.oxyrinchus","Lampanyctus.crocodilus","Lepidion.lepidion","Lepidopus.caudatus","Lepidorhombus.whiffiagonis","Lepidotrigla","Lesueurigobius.friesii","Lesueurigobius.suerii","Leucoraja.circularis","Lophius.budegassa","Lophius.piscatorius","Macroramphosus.scolopax","Maurolicus.muelleri","Merlangius.merlangus","Merluccius.merluccius","Micromesistius.poutassou","Molva.dypterygia","Mullus.barbatus","Mullus.surmuletus","Mustelus.mustelus","Mustelus.punctulatus","Myliobatis.aquila","Nemichthys.scolopaceus","Nettastoma.melanurum","Nezumia.sclerorhynchus","Notacanthus.bonaparte","Notoscopelus.elongatus","Pagellus.acarne","Pagellus.bogaraveo","Pagellus.erythrinus","Pagrus.pagrus","Peristedion.cataphractum","Phycis.blennoides","Pomatoschistus.minutus","Prionace.glauca","Pseudaphya.ferreri","Pteroplatytrygon.violacea","Raja","Raja.brachyura","Raja.miraletus","Raja.polystigma","Sarda.sarda","Sardina.pilchardus","Sardinella.aurita","Scomber.colias","Scomber.scombrus","Scorpaena","Scorpaena.scrofa","Scyliorhinus.canicula","Serranus","Serranus.cabrilla","Solea.solea","Sparus.aurata","Spicara","Sprattus.sprattus","Squalus.acanthias","Squalus.blainville","Stomias.boa","Symphodus.cinereus","Torpedo","Trachinus.draco","Trachurus.mediterraneus","Trachurus.trachurus","Trachyrincus","Trisopterus.capelanus","Uranoscopus.scaber","Zeus.faber"
"GSA11_69","Metabarcoding","EtOH",1.224744871,0,6.08276253,0,2,3.16227766,1,1.58113883,0,0,0,1.732050808,2,0.707106781,1.414213562,0,4.74341649,1.224744871,0,0,40.93897898,0,0,0,0,18.22086716,0,2.915475947,0,0,0,2.34520788,3.31662479,2.549509757,0,0,171.5735994,1.58113883,2.236067977,1,0,1.870828693,0,1.870828693,1.58113883,0,1.732050808,15.03329638,0,0,2.449489743,0,1.414213562,1.414213562,0,0,12.78671185,0,0,12.80624847,66.5244316,0,0,0,0,0,0,0,1,42.47352116,3.16227766,173.6562697,75.27947928,2.236067977,3.16227766,1.414213562,2,77.14272487,1.414213562,1.414213562,4.242640687,16.64331698,0,1.224744871,5.14781507,1.414213562,0,0,3.741657387,0,1,7,3.240370349,5.049752469,0,347.7721956,2.236067977,0,0,0,2.236067977,1.414213562,0,2.236067977,45.63989483,1,1.870828693,0,73.36211556
"GSA11_69","Metabarcoding","Si",1,0,0,0,0,0,0,0.707106781,0,0,0,2.645751311,1.870828693,0,0,0,0.707106781,2.449489743,0,0,72.55687424,0,0,0,0,21.11871208,0,3.31662479,1,1.414213562,0,3,4.898979486,1.58113883,0,0,77.33369253,0,1.414213562,0,0,0.707106781,10.58300524,1.414213562,2.34520788,0,1.224744871,13.61983847,0,0,0,0,2.828427125,1.224744871,8.276472679,1,18.9076704,1,0,2.449489743,19.35200248,0,1.414213562,1.414213562,0,1,0,0,0,40.0562105,4.636809248,77.79781488,17.11724277,0.707106781,2.549509757,1,0,7.106335202,7.071067812,0,0,21.16601049,0,0,4.74341649,7,0,0,0,0,0,0,0,0,0,125.1858618,3.464101615,0,0,0,0,6.32455532,0,0,14.26534262,0,0.707106781,0,13.50925609
"GSA11_70","Metabarcoding","EtOH",1.732050808,0,1.224744871,0,2.449489743,4,1.414213562,1,0,0,0,3.464101615,3,0,0,0,1.732050808,2.915475947,0,0,24.81934729,0,0,0,0,4,0,3.535533906,1,1,0,3.464101615,4.795831523,2.34520788,0,0,11.95826074,0,2.738612788,0,0,1,0,2.236067977,3.464101615,1.58113883,3.240370349,9.486832981,0,0,0,0,1.414213562,0.707106781,0.707106781,0,10.14889157,1.224744871,1,115.8770901,35.42597917,0,0,0,0,0.707106781,0.707106781,0,0,275.3579489,8.485281374,12.86468033,1,1,4.062019202,0,0,4.062019202,0,0,0,4.242640687,2.449489743,0.707106781,58.70689908,0.707106781,4.183300133,4.415880433,3.464101615,0,0,0,1.870828693,1.224744871,0,57.7191476,3.391164992,0,0,0,0,0,0,0,54.63515352,1,1.732050808,0,9.746794345
"GSA11_70","Metabarcoding","Si",0.707106781,0,0,0,2.121320344,4.527692569,1,0,1,1.414213562,0,1,4.358898944,0,0,0,0,1.414213562,1.414213562,0,49.56813493,0,0,0,0,16.21727474,0,2,1,0,0,2.34520788,6.284902545,8.972179222,0,0,18.6681547,0,2.121320344,0,2.236067977,2.645751311,0,1,1.58113883,0,1.58113883,5.830951895,0,0,0,1.414213562,0,2.738612788,0,1,20.0124961,1.870828693,0,27.34044623,14.59451952,0,0,1.414213562,0,1.224744871,1,0,0,166.2001805,10.46422477,10.46422477,1.414213562,2.121320344,2.738612788,0,0,6.480740698,1.414213562,1.732050808,0,15.42724862,3.16227766,0,29.22327839,0,3.605551275,2.738612788,1.414213562,1,0,1,9.899494937,0,0,51.32738061,1.414213562,0,0,0.707106781,0,1.414213562,0,1.414213562,49.90991885,0,1.58113883,0,6.480740698
"GSA11_71","Metabarcoding","EtOH",1.732050808,0,0,0,27,0.707106781,0,0.707106781,1,0,0,2.236067977,2,0,0,0,0.707106781,1.224744871,0,0,4.898979486,0,0,0,0.707106781,1,0,2.828427125,0,0,1,33.27912258,3.464101615,3,0,0,8.5732141,1,1.870828693,0,1,1.58113883,0,1.414213562,3.391164992,1,32.15587038,9.746794345,1,0,0,1,0,17.49285568,0,1,176.6734275,1.414213562,0,5.567764363,3.082207001,0,0,0,0,1,0,0,0,77.03570601,2.236067977,8.276472679,1,0,2.449489743,1.414213562,0,1.732050808,0,0,0,2,2.449489743,2.236067977,11.68332145,0,1,0.707106781,0,0,0,0,1.224744871,0,0,19.77371993,2.236067977,0,0,0,0,0,0,1.414213562,129.2961716,1.58113883,32.78719262,0,2
"GSA11_71","Metabarcoding","Si",1,0,0,0,2.738612788,0.707106781,0,0,0,0,0,2.236067977,1.870828693,1.414213562,0,0,0,2,0,0,6.32455532,0,0,0,0,0,0,3.082207001,0,0,1,7.968688725,2.828427125,2.549509757,0,0,3.464101615,0,1,0,0,1.58113883,0,1,2.738612788,0,6.964194139,6.782329983,0,0,0,0,2,8.631338251,1,0,171.9985465,1.414213562,0,9.460443964,4.527692569,0,0,0,0,1.732050808,1,0,0.707106781,21.50581317,0,2.34520788,0,0.707106781,2.549509757,0.707106781,0,0,0,0,0,0,0,1,4.795831523,0,0,0,0,0,0,0,0.707106781,0,0,8,3.16227766,0,0,0,0,0,0,0,163.838335,1,9.823441352,0,0
"GSA11_72","Metabarcoding","EtOH",2.449489743,0,1,0,31.79622619,2.738612788,2.549509757,1.732050808,0,0,0,3,2.915475947,18.41195264,0,0,1.414213562,2.34520788,0,0,21.49418526,0,0,0,0,4.123105626,2.121320344,4.527692569,1,2.236067977,1.414213562,47.42889415,6.480740698,7.38241153,1.414213562,0,38.111678,0,2.236067977,0,1,1,0,1,3.605551275,0,4.358898944,118.9096296,1,1.414213562,0,0,4.242640687,5.196152423,0,0,201.9938118,1.732050808,0,7.778174593,101.1953556,0,1.414213562,1.414213562,0,0,1,0,0,85.95347579,1.58113883,20.08730943,0,0,4,2.645751311,0,4.472135955,1.414213562,1,0,11.61895004,1.414213562,1,13.56465997,0,1,0,2.449489743,1,0,0,1.58113883,66.49812027,0,18.74833326,4.242640687,0,0,0,0,0,1.224744871,0,66.54697589,2.449489743,13.43502884,17.56416807,7.071067812
"GSA11_72","Metabarcoding","Si",2.121320344,0,0,0,8.336666,0,0,1.58113883,0,3.535533906,0.707106781,2.828427125,0,16.20185175,0,0,0,1.870828693,0,0,18.22086716,0,0,0,0,1.414213562,0,2.121320344,0,1.414213562,0,9.746794345,2.828427125,5.14781507,0,0,7.483314774,1,0.707106781,0,0,1.870828693,0,1.58113883,2.236067977,0,9.327379053,89.93608842,4.242640687,0,0,0,1.414213562,4.582575695,0,0,156.8980561,1,1,12.08304597,39.90613988,0,0,4,0,1,1.224744871,0,1.414213562,59.56509045,0.707106781,13.65650028,1.732050808,3.464101615,1.414213562,0,0,6.480740698,0,0,2,2,0,0,3.807886553,0,0,0,2,0,0,0,1.414213562,29.09467305,0,37.80211634,2.915475947,1.414213562,0,0,0,2,0,0,44.93884734,1.870828693,16.46207763,15.49193338,6.92820323
"GSA11_73","Metabarcoding","EtOH",1.224744871,0,0,0,7.582875444,9.137833441,1,1.870828693,0,0,0,2.549509757,0.707106781,31.503968,0,3.31662479,10.53565375,1.732050808,0,0,6.32455532,0,0,0,1,0,0,5.431390246,0,1.414213562,0,7.449832213,4.242640687,1.732050808,0,0,63.74166612,0,1.414213562,0,0,1.414213562,0,1,2.549509757,0.707106781,10.12422837,47.16460537,0,0,0,0,1.414213562,3,0,0,137.7987663,1.224744871,0,17.94435844,158.0648601,0,0,0,1,1,0,1,0,49.2239779,3.674234614,74.71947537,29.27456234,1.414213562,2.915475947,1.58113883,0,2.738612788,0,1.414213562,0,78.65112841,2,1,5.385164807,34.39476704,0,0,2.449489743,0,15.39480432,13.19090596,6.782329983,39.68626967,0,156.1825855,3,0,0,0,0,0,0,0,58.64725057,1.224744871,14.81553239,9.354143467,9.433981132
"GSA11_73","Metabarcoding","Si",0,0,0,0,17.1464282,1.732050808,0,1.732050808,0,0,0.707106781,2,1.58113883,7.106335202,0,3.872983346,6.284902545,1.732050808,0,0,11.13552873,0,0,0,0,1.732050808,0,6.595452979,0,1.414213562,0,9.273618495,3.605551275,7.071067812,0,0,40.13726448,2.645751311,1,0,0,0.707106781,0,1.414213562,2,0,3.937003937,77.38539914,0,0,0,1,1.414213562,3.240370349,0.707106781,0,155.8957985,1,0,5.477225575,88.11356309,0,0,0,0,1,1.414213562,1,0,51.89894026,1.870828693,16.43167673,7.416198487,1.414213562,3.082207001,1,0,0.707106781,0,0,1.414213562,59.66992542,2,0,5.522680509,16.41645516,0,0,2,0,14.62873884,7.615773106,9.219544457,42.54409477,0,119.6536669,2.549509757,0,0,0,0,0,0,2,61.56703663,0.707106781,9.949874371,12.84523258,4.795831523
