id,scientific_name,best_identity,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,rank,count,Sard_69_EtOH,Sard_69_Si,Sard_70_EtOH,Sard_70_Si,Sard_71_EtOH,Sard_71_Si,Sard_72_EtOH,Sard_72_Si,Sard_73_EtOH,Sard_73_Si,Sard_74_EtOH,Sard_74_Si,Sard_75_EtOH,Sard_75_Si,Sard_77_EtOH,Sard_77_Si,Sard_80_EtOH,Sard_80_Si,Sard_84_EtOH,Sard_84_Si,Adr_110_EtOH,Adr_110_Si,Adr_115_EtOH,Adr_115_Si,Adr_118_EtOH,Adr_118_Si,Adr_87_EtOH,Adr_87_Si,Adr_89_EtOH,Adr_89_Si,Tyrr_48_EtOH,Tyrr_48_Si,Tyrr_59_EtOH,Tyrr_59_Si,Tyrr_71_EtOH,Tyrr_71_Si,Tyrr_83_EtOH,Tyrr_83_Si,Tyrr_87_EtOH,Tyrr_87_Si,Tyrr_10_EtOH,Tyrr_10_Si
OTU_01,Alepocephalus,0.98,Opisthokonta,Metazoa,Chordata,Actinopterygii,Alepocephaliformes,Alepocephalidae,Alepocephalus,NA,genus,3113,1,0,4,1,0,0,0,1,1,0,2,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
OTU_02,Alosa fallax,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Clupeiformes,Clupeidae,Alosa,Alosa fallax,species,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_03,Aphia minuta,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Gobiiformes,Gobiidae,Aphia,Aphia minuta,species,91,64,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,4,0,0,0
OTU_04,Arctozenus risso,0.98,Opisthokonta,Metazoa,Chordata,Actinopterygii,Aulopiformes,Paralepididae,Arctozenus,Arctozenus risso,species,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
OTU_05,Argentina sphyraena,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Argentiniformes,Argentinidae,Argentina,Argentina sphyraena,species,4430,8,0,10,9,766,3,98,45,95,344,735,305,319,311,213,235,2,151,11,22,0,1,1,0,1,0,0,0,0,0,0,0,0,0,3,0,147,87,0,0,0,0
OTU_06,Arnoglossus laterna,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Pleuronectiformes,Bothidae,Arnoglossus,Arnoglossus laterna,species,1693,20,0,28,39,1,1,9,0,157,0,1,17,3,5,1,0,0,0,0,0,282,0,41,66,18,51,62,266,520,28,0,8,0,0,0,0,0,2,54,7,0,0
OTU_07,Boops boops,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Spariformes,Sparidae,Boops,Boops boops,species,578,0,0,4,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,11,30,35,0,0,0,0,0,7,0,0
OTU_08,Capros aper,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Caproiformes,Caproidae,Capros,Capros aper,species,2650,5,1,0,0,1,0,0,1,7,4,1678,62,110,11,181,132,1,3,90,260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,10,1,0,0,0
OTU_09,Cepola macrophthalma,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Perciformes,Cepolidae,Cepola,Cepola macrophthalma,species,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,61,0,0,14,1,0,0,1,0,0,0,0,0,2,1,0,0
OTU_10,Ceratoscopelus maderensis,1,Opisthokonta,Metazoa,Chordata,Actinopterygii,Myctophiformes,Myctophidae,Ceratoscopelus,Ceratoscopelus maderensis,species,109,0,0,0,4,0,0,0,25,0,0,0,10,0,0,6,5,7,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
